987 958
301 313 96334
364 374 33941
820 833 13218
296 297 8674891
283 310 890543
840 911 14002
272 290 223301
427 430 575338
5 6 48795959
473 480 833254041
151 153 10052123
161 170 93064
689 702 31912398
77 78 1732
100 103 263598
336 337 34287454
506 537 243614
701 713 85164
330 343 19365
578 581 7282854
637 645 8196111
850 883 46060617
665 676 9714090
947 954 66392
274 278 1027659
336 361 332630
399 429 4920551
52 53 38509
78 80 911594938
447 468 5276490
443 459 92003
805 836 802270
117 118 545222
354 363 54330015
33 34 8753225
586 603 113912997
833 888 550167
978 980 4291213
4 5 510269120
392 395 80217
965 976 54950807
937 950 36489614
450 463 802739
653 704 75624182
238 245 67170670
773 775 5849052
506 508 54831721
428 440 163354162
930 933 30547462
762 774 54509
877 893 37708
881 887 39958920
199 200 6545415
135 141 30589
610 632 54918
873 886 9296719
350 351 17542491
841 843 35204
667 690 51198
129 134 2699683
22 23 165716011
240 242 70727354
788 815 7124063
589 596 224730
712 728 267581407
672 685 35801
347 376 63665
589 602 8402063
38 39 106400
206 223 304537
95 96 3700028
664 687 98842
729 746 734296
47 48 97621
254 281 15702603
796 881 65411988
278 283 56239
22 24 62205604
60 62 82213
522 527 25146710
325 331 42159
537 564 295712
133 135 8672149
125 126 1463674
560 577 652641
480 490 77996386
344 345 87075
834 837 62712
565 569 82541
850 901 147482274
192 194 577625495
903 929 2119178
690 698 29931964
11 12 31834971
596 606 908053692
524 525 362471
52 54 13272
122 124 6618116
522 540 961433
915 962 44490
313 318 365770
951 952 4678103
186 189 2519289
146 151 65899
9 10 798345210
759 769 23224396
813 822 1028
780 790 450002243
27 28 955602
158 163 12864030
465 469 30499
286 294 41289676
528 536 197398650
421 424 22275908
749 786 63678
611 636 346366
403 425 19099
730 743 4685688
365 366 464978048
775 779 553266
598 646 43456
404 407 97618
617 620 2389105
142 146 623736578
803 835 392111
552 563 755873837
736 739 49203546
53 58 708229
79 83 4885811
70 71 53602912
799 807 4074563
225 227 894344982
251 254 95509
26 27 12517
394 422 1587831
731 734 80301
913 918 104844285
839 868 559155733
862 873 17621886
299 319 672900
660 667 3944469
883 912 412616
889 915 569889
2 3 526803
311 312 89930437
165 184 57816
631 641 7502057
81 82 4660883
833 834 10305591
535 570 18443838
540 543 767730335
738 741 29036509
294 327 794707
829 862 237811
782 785 372300
688 697 45720714
253 258 667971
812 852 618010672
613 627 680056
534 547 93148660
492 506 5035631
776 778 965741
512 530 87244910
523 531 735475
948 955 77363841
578 617 745307492
56 57 708406
482 487 64308897
156 173 1252577
43 45 63496398
144 156 53706009
442 448 4021
46 47 28601
10 11 676178340
975 984 94144
578 579 19157418
947 961 3442
481 484 48119134
435 436 5942292
921 934 439992
738 742 9171
727 731 953511862
849 861 577662
861 864 21290713
388 392 579463528
349 350 9923365
80 81 2318887
901 907 174209316
353 365 26061624
525 559 72418148
643 648 9055704
156 157 96180
96 102 12556
599 601 2512235
517 519 378896410
373 384 33442
227 235 628296718
470 473 77655156
926 946 16096694
245 246 397189
304 311 90790
632 658 3424120
553 588 369969589
76 79 44842168
717 759 17022
97 105 78800
791 801 28288
600 615 45702163
